task;features;accuracy_mean;accuracy_std;precision;recall;f1;auc;confusion_matrix;confusion_matrix_norm;ova_class_0_mean;ova_class_1_mean;ova_class_0_std;ova_class_1_std;ova_class_2_mean;ova_class_2_std
Control_vs_PhLP;acoustic;0.8534565217391304;0.010275482409715023;0.8038807007867341;0.8273888888865905;0.8153444726260054;0.9048249007936509;"[[29.786  6.214]
 [ 7.268 48.732]]";"[[0.82738889 0.17261111]
 [0.12978571 0.87021429]]";0.8534565217391207;0.8534565217391207;0.01027548240971505;0.01027548240971505;;
Control_vs_PhLP;spectral;0.8646086956521739;0.022836602132879247;0.8186243924254851;0.8409444444421086;0.8291003731697365;0.929048611111111;"[[30.274  5.726]
 [ 6.73  49.27 ]]";"[[0.84094444 0.15905556]
 [0.12017857 0.87982143]]";0.8646086956521727;0.8646086956521727;0.022836602132879278;0.022836602132879278;;
Control_vs_PhLP;all;0.9448369565217393;0.010613143891016358;0.9156842122351548;0.9461666666640384;0.9305412843820461;0.9644260912698412;"[[34.062  1.938]
 [ 3.137 52.863]]";"[[0.94616667 0.05383333]
 [0.05601786 0.94398214]]";0.9448369565217222;0.9448369565217222;0.010613143891016355;0.010613143891016355;;
Control_vs_UVFP;acoustic;0.9070526315789474;0.008532811041264635;0.8283469208309937;0.9524444444417987;0.8859657810822146;0.9613347457627119;"[[34.288  1.712]
 [ 7.118 51.882]]";"[[0.95244444 0.04755556]
 [0.12064407 0.87935593]]";0.907052631578952;0.907052631578952;0.008532811041264632;0.008532811041264632;;
Control_vs_UVFP;spectral;0.8641157894736842;0.018433736986291704;0.814725406867495;0.8314166666643571;0.822493152630327;0.9330932203389831;"[[29.931  6.069]
 [ 6.84  52.16 ]]";"[[0.83141667 0.16858333]
 [0.1159322  0.8840678 ]]";0.8641157894736816;0.8641157894736816;0.018433736986291662;0.018433736986291662;;
Control_vs_UVFP;all;0.9316947368421052;0.005686929174422981;0.8548906367765555;0.9873333333305905;0.9163148677804869;0.9791920903954803;"[[35.544  0.456]
 [ 6.033 52.967]]";"[[0.98733333 0.01266667]
 [0.10225424 0.89774576]]";0.9316947368421175;0.9316947368421175;0.005686929174422973;0.005686929174422973;;
PhLP_vs_UVFP;acoustic;0.6942521739130434;0.013035008844514058;0.6645060076331667;0.752464285712942;0.7056523886146299;0.7541431598062954;"[[42.138 13.862]
 [21.299 37.701]]";"[[0.75246429 0.24753571]
 [0.361      0.639     ]]";0.6942521739130454;0.6942521739130454;0.013035008844514102;0.013035008844514102;;
PhLP_vs_UVFP;spectral;0.6785304347826088;0.02420773205228677;0.6473225601489014;0.7479107142843786;0.6937018112686585;0.7103653147699758;"[[41.883 14.117]
 [22.852 36.148]]";"[[0.74791071 0.25208929]
 [0.38732203 0.61267797]]";0.678530434782611;0.678530434782611;0.024207732052286778;0.024207732052286778;;
PhLP_vs_UVFP;all;0.7283478260869565;0.016965215162792615;0.7067800784422632;0.7562499999986494;0.7305273561922483;0.7685335956416465;"[[42.35 13.65]
 [17.59 41.41]]";"[[0.75625    0.24375   ]
 [0.29813559 0.70186441]]";0.728347826086956;0.728347826086956;0.016965215162792584;0.016965215162792584;;
All_classes;acoustic;0.6763311258278146;0.011156776570130558;0.8057659804068211;0.8227222222199368;0.8140534210544458;0.0;"[[29.618  6.382  0.   ]
 [ 7.138 35.38  13.482]
 [ 4.056 17.816 37.128]]";"[[0.82272222 0.17727778 0.        ]
 [0.12746429 0.63178571 0.24075   ]
 [0.06874576 0.3019661  0.62928814]]";0.8836026490066188;0.7031920529801311;0.006366660233431572;0.011345350858263561;0.7658675496688689;0.009353197496457855
All_classes;spectral;0.670139072847682;0.021990862737633576;0.8367067199071455;0.9034704284106571;0.8685737900885819;0.0;"[[30.905  3.302  1.793]
 [ 6.046 36.383 13.571]
 [ 6.956 18.141 33.903]]";"[[0.85847222 0.09172222 0.04980556]
 [0.10796429 0.64969643 0.24233929]
 [0.11789831 0.30747458 0.57462712]]";0.8801523178807884;0.7280794701986719;0.010925327963299494;0.021090817800649597;0.7320463576158905;0.020369464682297344
All_classes;all;0.746682119205298;0.014982115853495735;0.8941800057118383;0.9345555555529597;0.9138129804618008;0.0;"[[33.644  2.356  0.   ]
 [ 3.981 37.722 14.297]
 [ 4.367 13.25  41.383]]";"[[0.93455556 0.06544444 0.        ]
 [0.07108929 0.67360714 0.25530357]
 [0.07401695 0.22457627 0.70140678]]";0.9291125827814434;0.7756026490066185;0.0067288939746579625;0.015845045900350994;0.7886490066225125;0.013573096084803535
